stock,gap_date,gap_width,gap_day_pl,revert_time,u_curve_effect,u_curve_profit,lowest_day,market_change_20d,Sector
MMM,2019-04-25,-0.09832395704660923,-0.03452465323478782,31,False,,,0.04041524968677268,Industrials
AOS,2001-10-01,-0.14727402761731856,-0.0040000000000000036,1,True,0.0784795397246107,0.0,-0.10217735068726419,Industrials
AOS,2008-12-01,-0.030462982558790652,-0.08901515151515171,2,True,0.05800808437307895,1.0,-0.15445900796710355,Industrials
AYI,2008-07-02,-0.0941409498921405,-0.06063411247396433,26,True,0.15638157822458162,6.0,-0.09927425857898031,Industrials
AYI,2018-01-09,-0.11698912825262786,-0.03689024390243911,8,True,0.055006727554390296,1.0,0.03617731542582092,Industrials
ADBE,2002-06-14,-0.0983801724448935,-0.03860294117647056,31,False,,,-0.08558045322192676,Information Technology
AMD,2001-07-06,-0.1794692737430168,-0.11489361702127654,31,False,,,-0.0600156757361997,Information Technology
AMD,2009-07-22,-0.13235294117647056,0.0028248587570620654,1,True,0.012693935119887145,0.0,0.060211554109032006,Information Technology
AFL,2001-07-25,-0.11298575331251048,0.0071428571428571175,1,True,0.05007197408932776,0.0,-0.01961013190148253,Financials
A,2007-08-15,-0.13469657468536134,0.030235660293463917,1,True,0.02715439966000537,0.0,-0.09049624308479887,Health Care
A,2019-05-15,-0.11378400666721578,0.004156769596199483,1,True,0.026721324969954472,0.0,-0.015170977260892227,Health Care
AKAM,2009-07-30,-0.18382352941176472,-0.008408408408408174,3,True,0.02089009990917341,1.0,0.09865287794257727,Information Technology
AKAM,2011-02-10,-0.13127734944780167,-0.022547373470856225,2,True,0.02134885977680744,0.0,0.030779184767538492,Information Technology
AKAM,2013-02-07,-0.18710918710918711,0.04319526627218928,1,True,0.025774688676513193,0.0,0.026358506608951116,Information Technology
AKAM,2015-10-28,-0.1805426869622766,0.016152479405588727,4,True,0.03382750430010644,2.0,0.08752943815184477,Information Technology
AKAM,2016-07-27,-0.11809261490790168,-0.014054265079055273,10,True,0.05399655556681185,6.0,0.04769964609939992,Information Technology
AKAM,2017-05-03,-0.13760000000000006,-0.020408163265306145,31,False,,,0.015784793241440553,Information Technology
ALK,2001-09-17,-0.2679031150776624,-0.02517985611510798,12,True,0.2905125079677489,8.0,-0.12554987516347638,Industrials
ALXN,2003-08-05,-0.24250000000000005,0.03630363036303641,2,True,0.027552674230145856,0.0,-0.04143306440585259,Health Care
ALXN,2005-11-23,-0.27063599458728016,-0.0018552875695732052,31,False,,,0.07566599507499427,Health Care
ALGN,2002-12-02,-0.02785515320334253,-0.09455587392550147,31,False,,,0.03301237964236581,Health Care
ALGN,2012-10-18,-0.21971194577802877,0.019905899384726755,31,False,,,-0.00039246467817910524,Health Care
AGN,2004-04-29,-0.06689168148349045,-0.07385079125847782,31,False,,,-0.01719813686850591,Health Care
ALL,2015-08-04,-0.07663915828628332,-0.026849828285981814,31,False,,,0.023721275018532273,Financials
AMZN,2006-02-03,-0.11792232101076272,0.01671087533156479,5,True,0.018912842216637908,2.0,-0.016891891891891997,Consumer Discretionary
ABC,2005-03-28,-0.09692971011791596,-0.021014492753623215,2,True,0.033909465020576006,1.0,-0.023627287853577483,Health Care
ABC,2017-08-03,-0.07845345392318714,-0.028534062537153737,26,True,0.07878589908371988,12.0,0.019994851111301726,Health Care
APC,2011-08-08,-0.06529684357292453,-0.040694195092758734,1,True,0.042491476135234234,0.0,-0.14573268921095017,Energy
ADM,2005-04-29,-0.1724090163239892,0.005027932960893988,1,True,0.03833873464228991,0.0,-0.01608882846136417,Consumer Staples
ADSK,2001-04-02,-0.021883511310729076,-0.12583668005354753,3,True,0.1872280282268075,1.0,-0.09183442660031671,Information Technology
ADSK,2012-08-24,-0.21674600952114254,0.07722559885591695,1,True,0.05025817555938054,0.0,0.02033532536520588,Information Technology
AVY,2001-06-21,-0.11363122350761068,0.007835051546391858,1,True,0.03729885337833954,0.0,-0.04201865057597376,Materials
AVY,2004-11-05,-0.06274584848291564,-0.053448275862068906,12,True,0.06864098086425605,1.0,0.038195273334924895,Materials
AVY,2008-09-09,-0.13279894661275016,0.02352398523985233,1,True,0.02360624186345223,0.0,-0.0473510576363283,Materials
BAX,2010-04-22,-0.1536637892197602,0.024723247232472323,31,False,,,0.037388969221235246,Health Care
BBY,2010-12-14,-0.1465156002827236,-0.0019668446192749878,15,True,0.07083151212718011,6.0,0.055118110236220375,Consumer Discretionary
BBY,2014-01-16,-0.31029435695929297,0.035507526051717475,31,False,,,0.020473606314750814,Consumer Discretionary
BIIB,2001-07-12,-0.16021470396877024,0.010265349602943896,1,True,0.055400327584545855,0.0,-0.003846602168084967,Health Care
BIIB,2005-02-28,-0.4383174791914388,0.022757343212490122,1,True,0.07953950811093666,0.0,0.020835692447061627,Health Care
BIIB,2008-08-01,-0.25946100917431203,-0.03193960511033678,7,True,0.04534988487336071,5.0,0.009135628952916308,Health Care
BIIB,2015-07-24,-0.15075964160498634,-0.08247706422018353,7,True,0.07470357659840943,1.0,-0.008670967741935542,Health Care
BIIB,2019-03-21,-0.28235440905829867,-0.01386534532968231,3,True,0.05800854001998733,2.0,0.024514589434862843,Health Care
BLK,2008-09-17,-0.0864285113591311,-0.029627335604418215,1,True,0.08882740560218698,0.0,-0.08598130841121499,Financials
HRB,2010-02-24,-0.16167683932695487,0.047158403869407506,1,True,0.023868444083881748,0.0,0.009032826613791567,Financials
HRB,2011-09-02,-0.0863932909331554,-0.03246753246753242,2,True,0.06908771155233931,1.0,0.049848151638915095,Financials
HRB,2012-04-26,-0.13837588710335247,0.03675450762829402,1,True,0.01891426439879103,0.0,-0.0004950903539896467,Financials
HRB,2018-06-13,-0.1953102143426504,0.019731318219983196,20,True,0.06411878712805265,11.0,0.02125898333145204,Financials
BKNG,2001-07-05,-0.041269841269841345,-0.07505518763796903,19,True,0.22051282051282053,4.0,-0.04803638784113595,Consumer Discretionary
BKNG,2008-08-06,-0.13208191126279867,-0.04473063311049941,3,True,0.07050479766374641,1.0,0.02904938395271972,Consumer Discretionary
BKNG,2012-08-08,-0.15401588702559565,-0.022222222222222143,5,True,0.022527926630941827,1.0,0.05233660976030352,Consumer Discretionary
BKNG,2017-11-07,-0.08213347346295319,-0.05781187381920194,8,True,0.055368139385281796,1.0,0.014308877178759616,Consumer Discretionary
BHF,2012-08-10,-0.16666666666666663,0.0,5,True,0.1999999999999999,0.0,0.03994900127496792,Financials
BHF,2012-09-20,-0.20000000000000007,0.0,1,True,0.25000000000000006,0.0,0.042962356792143996,Financials
BHF,2012-09-26,-0.20000000000000007,0.0,4,True,0.25000000000000006,0.0,0.017977710892377763,Financials
BHF,2012-10-05,-0.20000000000000007,0.0,3,True,0.25000000000000006,0.0,0.02374268067698715,Financials
BHF,2012-10-23,-0.20000000000000007,0.0,3,True,0.25000000000000006,0.0,-0.013025411539076215,Financials
BHF,2012-10-31,-0.20000000000000007,0.0,23,True,1.5,14.0,-0.021790808240887527,Financials
BHF,2012-12-05,-0.20000000000000007,0.0,31,False,,,0.012701794640662012,Financials
BHF,2013-04-18,-0.25,0.0,4,True,0.3333333333333334,0.0,-0.001393268314145324,Financials
BHF,2013-05-13,-0.25,0.0,1,True,0.3333333333333334,0.0,0.038901272740346604,Financials
BHF,2013-07-05,-0.20000000000000007,0.0,1,True,0.25000000000000006,0.0,-0.005563186813186793,Financials
BHF,2013-07-09,-0.20000000000000007,0.0,29,True,0.6666666666666669,13.0,0.01783607467554993,Financials
BHF,2013-07-26,-0.25,0.0,9,True,0.3333333333333334,0.0,0.05411285794497478,Financials
BHF,2013-09-03,-0.25,0.0,12,True,0.3333333333333334,0.0,-0.031509121061359835,Financials
BHF,2013-09-20,-0.25,0.0,5,True,0.3333333333333334,0.0,0.029598594404649514,Financials
BHF,2013-10-01,-0.25,0.0,31,False,,,0.026628625772705528,Financials
BHF,2014-10-10,-0.5,0.0,31,False,,,-0.03795782463928954,Financials
BMY,2016-08-05,-0.17683808314388894,0.020645161290322678,31,False,,,0.022401033129687553,Health Care
CHRW,2008-07-23,-0.12273884860400763,-0.038416763678696175,12,True,0.0853000163427252,8.0,-0.02761378784993329,Industrials
CDNS,2001-03-12,-0.0625,-0.11511111111111105,31,False,,,-0.11452095808383222,Information Technology
CDNS,2007-10-25,-0.04933148916551411,-0.06304558680892336,31,False,,,-0.0048442328572622095,Information Technology
CDNS,2013-10-24,-0.05237767057201925,-0.053818181818181876,31,False,,,0.03694859038142617,Information Technology
COF,2009-05-11,-0.11514063140631403,-0.023071377072819033,31,False,,,0.08174267812909797,Financials
CAH,2003-07-31,-0.07691798047898823,-0.0798319327731093,7,True,0.08303723485559932,1.0,0.006546872823512961,Health Care
CAH,2004-07-01,-0.15425734349171938,-0.10784810126582278,31,False,,,0.011275460717749652,Health Care
CAH,2017-04-18,-0.11226385076579293,-0.0035788024776325367,2,True,0.01096451454077577,0.0,0.0005806163465833514,Health Care
KMX,2007-09-19,-0.10215482841181156,-0.05377777777777781,31,False,,,0.0457482102322333,Consumer Discretionary
CCL,2001-09-17,-0.40377558692058435,0.14294117647058813,1,True,0.0743225755852712,0.0,-0.12554987516347638,Consumer Discretionary
CAT,2006-10-20,-0.10234933591144046,-0.047772756617172396,4,True,0.03557816936226942,1.0,0.03292503674669289,Industrials
CELG,2002-03-07,-0.18155619596541794,0.02464788732394374,7,True,0.05300353356890456,2.0,0.07859749739311783,Health Care
CELG,2012-06-21,-0.11405598570577724,-0.0006722689075630006,1,True,0.036314727639542646,0.0,0.004452592980618064,Health Care
CELG,2017-10-20,-0.08428949691085619,-0.025461847389558256,31,False,,,0.03284747311158176,Health Care
CNC,2008-02-08,-0.11345218800648305,-0.02010968921389389,31,False,,,-0.0504703328509406,Health Care
CNC,2016-11-09,-0.20508982035928136,0.017702448210922705,1,True,0.03490759753593425,0.0,0.01579364293494412,Health Care
CTL,2001-01-31,-0.22646735036792398,0.12071428571428577,31,False,,,0.01489226869455007,Telecommunication Services
CTL,2013-02-14,-0.1851473103100003,-0.05004415660877226,2,True,0.041970727685013386,1.0,0.029038949066605202,Telecommunication Services
CF,2008-09-15,-0.059794836321886535,-0.045060658578856105,1,True,0.06080781180648029,1.0,-0.06462019747775927,Materials
CF,2011-09-30,-0.059766913222653484,-0.06867924528301894,3,True,0.10374462860650714,1.0,-0.034912718204488824,Materials
SCHW,2016-06-24,-0.0793570945424138,-0.04352596927578645,16,True,0.12655620586508676,7.0,-0.02827893776606516,Financials
CMG,2012-07-20,-0.1867231218739167,-0.034921601461409546,31,False,,,0.022597895463170703,Consumer Discretionary
CI,2001-05-02,-0.1077346252223389,-0.042684812867305855,31,False,,,0.14406670942912125,Health Care
CI,2006-04-27,-0.048938129756709414,-0.05455029270888756,31,False,,,0.00948441126021593,Health Care
CTAS,2001-02-28,-0.04242898284772201,-0.1201758671226183,31,False,,,-0.095327297325424,Industrials
CSCO,2010-11-11,-0.16461198040145408,0.0029325513196480912,31,False,,,0.033441426834211585,Information Technology
CSCO,2012-05-10,-0.0859585607686073,-0.02096680256260941,27,True,0.07270962197800922,15.0,-0.0080998987512656,Information Technology
CSCO,2013-11-14,-0.12774684487073806,0.020534861509073465,1,True,0.01809481681359158,0.0,0.027949113338473497,Information Technology
CTXS,2006-10-19,-0.19402174070963862,-0.003555555555555423,1,True,0.0076659241385314695,0.0,0.040584575886244645,Information Technology
CTSH,2003-04-10,-0.11161557681760004,-0.0040816326530613845,3,True,0.04329004329004333,2.0,0.04448105436573302,Information Technology
CTSH,2014-08-06,-0.13986277608744813,0.01581763200744346,1,True,0.024186378275483228,0.0,-0.02176480512907042,Information Technology
CL,2004-09-20,-0.08845298452160166,-0.026252019386106773,31,False,,,0.024818773805135752,Consumer Staples
CMCSA,2008-09-29,-0.03363783829932554,-0.09990009990009985,31,False,,,-0.12473033928221222,Consumer Discretionary
CMA,2016-06-24,-0.07887613237150881,-0.02342606149341131,4,True,0.078691341818984,1.0,-0.02827893776606516,Financials
CAG,2001-02-14,-0.2454157075057697,0.06716929403701166,1,True,0.0780229482588828,0.0,-0.020207363520947874,Consumer Staples
COST,2003-08-05,-0.1344010590442165,-0.06062500000000004,17,True,0.1036476265105494,2.0,-0.04143306440585259,Consumer Staples
COST,2008-07-23,-0.12390742037551006,0.0053891266444761055,9,True,0.059909927085396844,3.0,-0.02761378784993329,Consumer Staples
CMI,2008-09-09,-0.004444888548268633,-0.10775646371976655,31,False,,,-0.0473510576363283,Industrials
CVS,2001-06-15,-0.07688414942717958,-0.054870775347912515,31,False,,,-0.05809492491504986,Consumer Staples
CVS,2009-11-05,-0.21295012872553365,0.014762741652021072,1,True,0.03922598278669463,0.0,-0.0037423452029939908,Consumer Staples
DRI,2003-09-25,-0.09305954288832774,-0.0323325635103926,10,True,0.05799136677674206,1.0,-0.0009555009555010097,Consumer Discretionary
DRI,2011-12-06,-0.0996177868188105,-0.02681593335068977,1,True,0.024375448663904148,0.0,-0.012621181635266265,Consumer Discretionary
DAL,2009-04-27,-0.1347814293166405,-0.01026392961876832,5,True,0.13001861519399138,1.0,0.08937763219466555,Industrials
DFS,2009-07-07,-0.10028099524789202,-0.00846560846560851,2,True,0.02301454414130457,1.0,-0.06428571428571428,Financials
DISH,2007-11-12,-0.15458289056663077,-0.004389173372348232,1,True,0.007781919486358648,0.0,-0.06555067539570725,Consumer Discretionary
DISH,2010-08-09,-0.0723857655037432,-0.03155716502845318,31,False,,,0.030399125205030186,Consumer Discretionary
DLTR,2001-07-25,-0.17028985507246364,-0.018558951965065518,31,False,,,-0.01961013190148253,Consumer Discretionary
DLTR,2005-04-08,-0.07561235356762519,-0.033410138248847865,31,False,,,-0.016005335111703878,Consumer Discretionary
DLTR,2018-05-31,-0.08386092371562015,-0.06434802311090959,10,True,0.08866843305194415,2.0,0.03167173726499728,Consumer Discretionary
DWDP,2001-09-17,-0.06766606137348041,-0.03779005524861878,5,True,0.1632950427352344,4.0,-0.12554987516347638,Materials
DWDP,2011-08-04,-0.02277999639230699,-0.08136315228966984,31,False,,,-0.10522172658094986,Materials
DXC,2011-05-03,-0.10423857875895581,-0.02756780791462865,31,False,,,0.01870899095584333,Information Technology
DXC,2016-02-10,-0.2123208114280405,0.14244878513577897,4,True,0.07803085654986926,0.0,-0.01888611615244995,Information Technology
ETFC,2009-04-29,-0.2805258113930834,-0.07909604519773994,7,True,0.30063351162702495,2.0,0.07808946171341913,Financials
EBAY,2005-01-20,-0.16563521298105655,-0.030939226519337115,1,True,0.016531212508223866,0.0,-0.02638873489300364,Information Technology
EBAY,2016-01-28,-0.12092975629735814,-0.0043047783039174,1,True,0.012191036897934453,0.0,-0.08165175785313084,Information Technology
EW,2012-02-03,-0.10414083808579211,-0.009964018820924458,1,True,0.008623087621696666,0.0,0.05350805350805343,Health Care
EFX,2017-09-08,-0.14641302184898863,0.011574454112625254,31,False,,,0.010085535554704483,Industrials
EQIX,2010-10-06,-0.24394620058741545,-0.11477472942360933,15,True,0.13109308102535536,1.0,0.05167567567567577,Real Estate
ES,2004-11-15,-0.08317674271454722,-0.018528610354223485,6,True,0.040674290910362655,1.0,0.07524656033118227,Utilities
EXPE,2011-02-11,-0.1464378116296704,-0.028271773825809365,28,True,0.10980580235082114,12.0,0.029457648894191113,Consumer Discretionary
EXPE,2011-12-21,-0.3477135286463787,0.018626734842951187,1,True,0.05495926833093271,0.0,0.07203772449081969,Consumer Discretionary
EXPE,2013-07-26,-0.23077346864007375,-0.05599999999999983,7,True,0.08737221412751396,2.0,0.05411285794497478,Consumer Discretionary
EXPE,2015-02-06,-0.09964286699994829,-0.017165215196263905,4,True,0.15222119667482667,1.0,0.006368404152841789,Consumer Discretionary
EXPE,2017-10-27,-0.16453093170640942,0.005605199025182861,2,True,0.017632321136840975,1.0,0.02134458601335587,Consumer Discretionary
EXPD,2001-09-17,-0.03163455662175785,-0.0835866261398176,31,False,,,-0.12554987516347638,Industrials
FFIV,2007-10-25,-0.10995799357548797,-0.05080510827318174,4,True,0.07009207009207007,3.0,-0.0048442328572622095,Information Technology
FFIV,2011-07-21,-0.07744077530509685,-0.038323120319035064,31,False,,,0.04819497892614999,Information Technology
FB,2018-07-26,-0.1959080459770115,0.007833495339927943,5,True,0.027647487254187936,3.0,0.04592681825026346,Information Technology
FLIR,2005-04-12,-0.09233701073443801,-0.08314606741573038,8,True,0.09996539332820788,3.0,-0.008130081300813052,Information Technology
FLIR,2006-04-18,-0.10059149369232756,-0.014200298953662371,31,False,,,0.008590197069226813,Information Technology
FLIR,2008-10-06,-0.06349815472010312,-0.05133722717491551,20,True,0.21444416298762375,14.0,-0.14524343043389698,Information Technology
FLIR,2018-10-30,-0.05146056028801904,-0.08198019801980194,31,False,,,-0.08209214922049013,Information Technology
FLS,2004-10-27,-0.07775878442545114,-0.040983606557377095,3,True,0.0382305272189913,1.0,0.010135135135135087,Industrials
FLR,2016-11-04,-0.1469850185906001,0.014033499320959653,1,True,0.0083881229074472,0.0,-0.03517759562841538,Industrials
FLR,2018-05-04,-0.20085741285506398,-0.029274501484938598,7,True,0.0890073139146602,2.0,0.01923152400015704,Industrials
FLR,2018-10-11,-0.15481762714957437,-0.02062723637129016,18,True,0.11212253658530281,10.0,-0.06008974898331221,Industrials
FCX,2002-07-23,-0.02475319518802488,-0.0912921348314607,2,True,0.10565538059485075,1.0,-0.1805276742185259,Materials
FCX,2002-09-03,-0.09721393430666614,-0.00675675675675691,3,True,0.045720868585019114,2.0,0.0195508159638067,Materials
FCX,2009-06-22,-0.038205839256953866,-0.07720588235294124,3,True,0.08566246402765815,1.0,-0.0166913447301118,Materials
FCX,2012-12-05,-0.16130710436650486,0.0018691588785044733,5,True,0.04767035635540199,1.0,0.012701794640662012,Materials
FCX,2019-04-25,-0.04097851213235837,-0.06293169608595539,31,False,,,0.04041524968677268,Materials
GPS,2003-02-28,-0.09860219284909388,-0.023220973782771548,5,True,0.07248215285554306,3.0,-0.013526570048309261,Consumer Discretionary
GPS,2011-05-20,-0.17565614521910045,0.0015633142261592958,1,True,0.007051449464612156,1.0,-0.00017680339462522454,Consumer Discretionary
GPS,2014-10-09,-0.11356918868143628,-0.012654819601507716,12,True,0.04139803292821247,4.0,-0.02756058337492373,Consumer Discretionary
GRMN,2015-02-18,-0.05802449716867619,-0.05232666791253959,31,False,,,0.03471661553366712,Consumer Discretionary
GPN,2007-01-05,-0.09279131511945549,-0.07640449438202246,31,False,,,-0.0032048347220949847,Information Technology
GPN,2008-01-04,-0.14468302225534369,-0.012933264355923568,4,True,0.06435935998983823,2.0,-0.05884339383706205,Information Technology
GS,2009-04-14,-0.049120383296600845,-0.06989334195216557,11,True,0.09640194583563799,4.0,0.08660544648511714,Financials
GT,2011-08-08,-0.0504687728383203,-0.10334110334110336,4,True,0.12299696739084698,2.0,-0.14573268921095017,Consumer Discretionary
GT,2012-10-26,-0.05322583235629508,-0.054077253218884236,4,True,0.03418273218124265,1.0,-0.020782105179662058,Consumer Discretionary
HBI,2018-02-08,-0.07911329210203277,-0.03214638971315531,4,True,0.08393597731363218,1.0,-0.06696960667461271,Consumer Discretionary
HBI,2018-08-01,-0.16456230698537033,-0.03440860215053754,6,True,0.04404090222088605,3.0,0.028378327919047264,Consumer Discretionary
HRS,2002-10-16,-0.005929877444433518,-0.1652996845425867,31,False,,,0.026428807400066034,Information Technology
HRS,2008-01-10,-0.028438189576247663,-0.08138173302107721,14,True,0.1742158389058345,8.0,-0.0490572476751131,Information Technology
HCA,2016-11-09,-0.15067313380005487,0.0505168146746251,4,True,0.05080505842518468,0.0,0.01579364293494412,Health Care
HOLX,2013-11-12,-0.14366812227074233,0.04589495155532908,1,True,0.026420737786639958,0.0,0.028390961776388668,Health Care
HOLX,2016-04-28,-0.04837430610626481,-0.057777777777777706,31,False,,,0.002574665293511913,Health Care
HPQ,2015-11-25,-0.10022446276125996,-0.04024297646165531,31,False,,,0.0023215022699132337,Information Technology
HPQ,2019-02-28,-0.1592152628256397,-0.015960099750623513,11,True,0.07929742645833128,6.0,0.03237988409048431,Information Technology
HBAN,2008-10-07,-0.0578659567579235,-0.09347614410905547,15,True,0.6098532860437621,3.0,-0.18677082276554735,Financials
IDXX,2015-10-28,-0.10411780036486828,0.002472727272727404,1,True,0.016343429941163445,0.0,0.08752943815184477,Health Care
ILMN,2009-07-02,-0.13843733613004727,0.01825928180158254,13,True,0.13035143769968058,3.0,-0.04471597556219953,Health Care
ILMN,2016-10-11,-0.2691371382201785,0.028793486306439853,4,True,0.035258759712652125,2.0,0.006365309065592628,Health Care
INCY,2005-07-25,-0.10502283105022836,-0.0535714285714286,1,True,0.05111402359108777,0.0,0.03386809269162194,Health Care
INCY,2006-09-21,-0.10282258064516125,-0.022471910112359716,11,True,0.08283313325330126,8.0,0.021623252539474835,Health Care
IR,2007-12-17,-0.06767469279847527,-0.049153468050245674,4,True,0.03156893698765628,1.0,0.009130396241467942,Industrials
INTC,2006-01-18,-0.1037041719342604,-0.011805859204197633,31,False,,,0.016734651187114258,Information Technology
IP,2001-09-17,-0.05241646585814119,-0.054581447963801044,14,True,0.11561978877153986,4.0,-0.12554987516347638,Materials
IFF,2011-11-08,-0.062023668735394,-0.04295652173913045,31,False,,,0.058983050847457585,Materials
IFF,2016-02-11,-0.12855248515832085,-9.95024875622974e-05,1,True,0.062180284024480045,0.0,-0.04726298755649794,Materials
IFF,2018-05-07,-0.03670494604949859,-0.07338980575434495,31,False,,,0.006683665584917398,Materials
INTU,2003-03-21,-0.1986993566967652,-0.05051495831289865,30,True,0.13773183338400732,25.0,0.07442937479325162,Information Technology
